epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,582.21,0.68153,1.07593,0.59531,0.91717,0.95607,0.95662,0.98656,0.83495,0.93852,0.93761,0.9688,0.72631,0.61254,0.87756,0.54541,0.90349,0.00130249,0.00130249,0.00130249
31,601.079,0.66813,1.02041,0.56172,0.90724,0.94481,0.93593,0.98061,0.82106,0.93303,0.91387,0.96097,0.70764,0.61954,0.92776,0.57032,0.91868,0.00129391,0.00129391,0.00129391
32,620.363,0.67579,1.03282,0.57045,0.91307,0.96813,0.94094,0.98519,0.83284,0.95447,0.92723,0.96937,0.7212,0.62426,0.86705,0.51417,0.907,0.00128507,0.00128507,0.00128507
33,639.53,0.66024,1.00157,0.55548,0.90948,0.95359,0.95013,0.98404,0.84398,0.94784,0.93397,0.97425,0.731,0.58604,0.87282,0.50939,0.89119,0.00127599,0.00127599,0.00127599
34,658.928,0.66005,1.01562,0.55598,0.90756,0.95543,0.94838,0.9876,0.83587,0.93383,0.93149,0.97192,0.72301,0.6157,0.86689,0.50642,0.90099,0.00126667,0.00126667,0.00126667
35,677.409,0.63954,0.96631,0.55185,0.9006,0.94539,0.95556,0.98801,0.83126,0.93707,0.94628,0.97461,0.71556,0.60978,0.87959,0.52097,0.90115,0.00125711,0.00125711,0.00125711
36,696.806,0.63357,0.90342,0.53742,0.89028,0.87837,0.90344,0.95314,0.79942,0.87664,0.87764,0.93669,0.67953,0.64079,0.91701,0.61935,0.90746,0.00124731,0.00124731,0.00124731
37,715.116,0.66223,0.96628,0.56306,0.90332,0.95278,0.94689,0.98165,0.83212,0.93413,0.91808,0.96351,0.70865,0.63839,0.92883,0.52813,0.91556,0.00123728,0.00123728,0.00123728
38,734.695,0.65283,0.94144,0.5415,0.90114,0.94429,0.95459,0.98776,0.8349,0.94478,0.94041,0.97913,0.72822,0.60976,0.83717,0.51919,0.90187,0.00122703,0.00122703,0.00122703
39,753.562,0.60603,0.89238,0.5208,0.88733,0.95046,0.95556,0.98673,0.84627,0.93811,0.94748,0.97621,0.73334,0.5869,0.83169,0.5062,0.89036,0.00121656,0.00121656,0.00121656
40,772.202,0.60947,0.90819,0.52354,0.88842,0.96079,0.96859,0.99125,0.86072,0.95562,0.95947,0.98434,0.74927,0.56043,0.81738,0.47739,0.88914,0.00120586,0.00120586,0.00120586
41,792.365,0.62393,0.95986,0.52093,0.89316,0.94681,0.9605,0.98905,0.85151,0.95942,0.92262,0.97502,0.72396,0.58598,0.8774,0.49693,0.88524,0.00119496,0.00119496,0.00119496
42,812.226,0.62122,0.94455,0.51553,0.8889,0.97322,0.95086,0.98915,0.86246,0.96896,0.93773,0.97639,0.75038,0.56212,0.79121,0.47985,0.89044,0.00118385,0.00118385,0.00118385
43,830.918,0.60904,0.93186,0.50909,0.89313,0.96379,0.94084,0.98092,0.84941,0.95403,0.9306,0.96709,0.74226,0.56491,0.79701,0.49043,0.88539,0.00117253,0.00117253,0.00117253
44,850.301,0.59666,0.92483,0.49769,0.88711,0.96624,0.96602,0.99142,0.86233,0.9529,0.95225,0.98098,0.75695,0.56779,0.77015,0.47213,0.8909,0.00116102,0.00116102,0.00116102
45,869.08,0.59097,0.88529,0.49154,0.88343,0.98197,0.95977,0.99057,0.85966,0.97035,0.94299,0.97838,0.75004,0.56668,0.77145,0.46909,0.88882,0.00114931,0.00114931,0.00114931
46,889.225,0.61597,0.92306,0.50877,0.89727,0.98562,0.9728,0.99164,0.87116,0.97662,0.96277,0.98237,0.76058,0.53954,0.73942,0.44133,0.87381,0.00113742,0.00113742,0.00113742
47,907.186,0.60871,0.90501,0.49975,0.88644,0.96811,0.97352,0.99083,0.86606,0.97974,0.93978,0.98001,0.74887,0.55138,0.75731,0.45647,0.88766,0.00112534,0.00112534,0.00112534
48,927.208,0.59453,0.88538,0.4878,0.88475,0.98377,0.97205,0.99338,0.87778,0.97398,0.95418,0.98733,0.76488,0.52602,0.78045,0.4334,0.8782,0.00111309,0.00111309,0.00111309
49,945.945,0.59509,0.92183,0.48447,0.88311,0.97538,0.9755,0.99215,0.87478,0.96414,0.96267,0.9801,0.75718,0.54565,0.74166,0.44079,0.87977,0.00110066,0.00110066,0.00110066
50,965.071,0.56518,0.83042,0.46716,0.87465,0.98621,0.97555,0.99343,0.87282,0.97976,0.96907,0.98787,0.7717,0.55261,0.73271,0.42849,0.88086,0.00108807,0.00108807,0.00108807
51,984.716,0.578,0.84794,0.47238,0.88068,0.98499,0.97481,0.99274,0.88408,0.9812,0.95795,0.98329,0.7625,0.52596,0.76122,0.42819,0.87295,0.00107532,0.00107532,0.00107532
52,1004.15,0.59075,0.88068,0.47588,0.88402,0.98396,0.96674,0.99357,0.87934,0.98396,0.95501,0.98588,0.77173,0.51918,0.72819,0.42877,0.86676,0.00106242,0.00106242,0.00106242
53,1022.82,0.57925,0.85399,0.47008,0.88059,0.96799,0.95857,0.98878,0.86662,0.9706,0.9415,0.97712,0.76256,0.53452,0.72371,0.43932,0.87494,0.00104936,0.00104936,0.00104936
54,1042.66,0.56174,0.81581,0.45287,0.86518,0.98461,0.98044,0.99396,0.8904,0.98569,0.95302,0.98517,0.76839,0.51402,0.7618,0.41228,0.86827,0.00103616,0.00103616,0.00103616
55,1061.75,0.57213,0.8334,0.46201,0.87544,0.97386,0.97536,0.99306,0.88804,0.96914,0.9668,0.98696,0.77639,0.50881,0.71174,0.41455,0.86639,0.00102282,0.00102282,0.00102282
56,1081.58,0.55093,0.8236,0.45111,0.87375,0.98438,0.97637,0.99416,0.88379,0.98075,0.96217,0.98043,0.76792,0.50992,0.7123,0.41069,0.87099,0.00100935,0.00100935,0.00100935
57,1100.08,0.54883,0.78528,0.44502,0.8702,0.98329,0.97653,0.99349,0.88243,0.97678,0.9627,0.9843,0.7642,0.51786,0.70104,0.41664,0.87546,0.000995756,0.000995756,0.000995756
58,1119.71,0.54588,0.78288,0.44388,0.86493,0.98501,0.9815,0.99341,0.88715,0.96922,0.96512,0.98184,0.76952,0.50511,0.69361,0.4129,0.86593,0.00098204,0.00098204,0.00098204
59,1138.85,0.55244,0.81118,0.45061,0.87466,0.97414,0.97217,0.99293,0.89397,0.97286,0.95638,0.98449,0.78218,0.49331,0.68931,0.40917,0.85999,0.000968209,0.000968209,0.000968209
60,1157.17,0.54915,0.81537,0.4425,0.86911,0.98524,0.96916,0.99016,0.87369,0.97939,0.9547,0.98076,0.75362,0.51228,0.7058,0.42329,0.8725,0.00095427,0.00095427,0.00095427
61,1175.87,0.5511,0.80777,0.44676,0.8739,0.97951,0.97716,0.99368,0.89106,0.97368,0.9659,0.98606,0.77731,0.49283,0.72141,0.40097,0.86297,0.00094023,0.00094023,0.00094023
62,1195.43,0.51969,0.73134,0.42533,0.85595,0.98557,0.97585,0.99246,0.89388,0.98088,0.97,0.9866,0.7861,0.48667,0.69202,0.39885,0.85953,0.000926093,0.000926093,0.000926093
63,1215.15,0.53939,0.7823,0.43933,0.86948,0.98284,0.98225,0.99394,0.89553,0.97508,0.96497,0.98273,0.78287,0.47807,0.67215,0.39216,0.85062,0.000911867,0.000911867,0.000911867
64,1234.37,0.5362,0.77039,0.43735,0.8664,0.98527,0.98371,0.99413,0.88751,0.97595,0.97424,0.98626,0.79161,0.4963,0.67556,0.39103,0.85983,0.000897557,0.000897557,0.000897557
65,1253.5,0.53771,0.788,0.43724,0.8639,0.98431,0.98069,0.99405,0.89482,0.98982,0.96379,0.98738,0.78228,0.4901,0.64428,0.39927,0.86346,0.00088317,0.00088317,0.00088317
66,1272.48,0.52917,0.77054,0.4316,0.86607,0.9855,0.9831,0.99407,0.89904,0.98375,0.96763,0.98804,0.78531,0.48041,0.62803,0.38905,0.86323,0.000868712,0.000868712,0.000868712
67,1292.02,0.51099,0.73564,0.41544,0.8601,0.97601,0.98299,0.99363,0.8955,0.98501,0.95548,0.98156,0.78591,0.49434,0.67157,0.3912,0.86061,0.00085419,0.00085419,0.00085419
