epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2296.96,0.40427,0.60893,0.33645,0.83166,0.99143,0.98981,0.99477,0.94572,0.99645,0.96995,0.99016,0.82632,0.36039,0.50594,0.30646,0.821,0.000167296,0.000167296,0.000167296
120,2315.41,0.43048,0.64331,0.34986,0.83816,0.99407,0.98711,0.99481,0.94234,0.98948,0.97592,0.99073,0.83169,0.35658,0.50957,0.30473,0.81903,0.000158216,0.000158216,0.000158216
121,2334.96,0.42167,0.63408,0.34417,0.84127,0.99612,0.98688,0.99479,0.94322,0.98934,0.98056,0.99235,0.83425,0.3559,0.5056,0.30405,0.81934,0.000149383,0.000149383,0.000149383
122,2354.26,0.42212,0.62482,0.34651,0.837,0.99488,0.98419,0.99479,0.94566,0.98245,0.99051,0.99282,0.8258,0.35245,0.51128,0.30255,0.81856,0.000140801,0.000140801,0.000140801
123,2374.41,0.40689,0.59931,0.33703,0.83338,0.9961,0.98846,0.99489,0.94475,0.99029,0.97773,0.99194,0.83154,0.35012,0.50898,0.29939,0.81752,0.000132474,0.000132474,0.000132474
124,2393.33,0.42255,0.63548,0.34717,0.83867,0.99646,0.98974,0.99488,0.94852,0.99389,0.97481,0.98999,0.83141,0.34736,0.50231,0.29957,0.8161,0.000124405,0.000124405,0.000124405
125,2412.21,0.41002,0.60298,0.34029,0.83485,0.99566,0.98577,0.99483,0.94404,0.99293,0.97618,0.9907,0.82448,0.35004,0.50094,0.30002,0.81764,0.000116599,0.000116599,0.000116599
126,2431.74,0.40865,0.60608,0.33586,0.82893,0.99594,0.98548,0.9948,0.94668,0.99578,0.97593,0.98996,0.82944,0.34813,0.49655,0.29857,0.81623,0.000109058,0.000109058,0.000109058
127,2451.44,0.41153,0.60452,0.3421,0.83392,0.996,0.98574,0.99474,0.94804,0.99331,0.97929,0.99219,0.83159,0.34569,0.49389,0.29894,0.8159,0.000101785,0.000101785,0.000101785
128,2470.18,0.40248,0.60469,0.33423,0.83194,0.9979,0.98666,0.99478,0.94862,0.99372,0.97936,0.99256,0.83164,0.34111,0.49495,0.29707,0.81512,9.47845e-05,9.47845e-05,9.47845e-05
129,2490.22,0.41474,0.6261,0.3422,0.83558,0.99718,0.98711,0.99481,0.94835,0.98795,0.98375,0.99251,0.83376,0.34218,0.49211,0.29786,0.8149,8.80588e-05,8.80588e-05,8.80588e-05
130,2509.47,0.39891,0.59193,0.33139,0.8272,0.99735,0.98831,0.99485,0.94803,0.99159,0.98498,0.99241,0.83139,0.34032,0.4945,0.29544,0.81451,8.16111e-05,8.16111e-05,8.16111e-05
131,2529.31,0.40574,0.61507,0.33547,0.83084,0.99689,0.98811,0.99483,0.94737,0.98794,0.98442,0.99232,0.83312,0.33914,0.49246,0.29622,0.81496,7.54441e-05,7.54441e-05,7.54441e-05
132,2548.46,0.37653,0.55417,0.31844,0.82676,0.99737,0.98705,0.99483,0.94755,0.99259,0.9774,0.99099,0.83079,0.33857,0.49149,0.29442,0.81475,6.95605e-05,6.95605e-05,6.95605e-05
133,2567.55,0.3957,0.58127,0.3287,0.8275,0.99567,0.98779,0.99483,0.95099,0.99248,0.97822,0.99197,0.83033,0.33852,0.49316,0.2961,0.81457,6.3963e-05,6.3963e-05,6.3963e-05
134,2586.19,0.41378,0.63414,0.34118,0.83137,0.99803,0.98846,0.99487,0.95047,0.99254,0.97748,0.99022,0.83087,0.33724,0.4901,0.29503,0.81412,5.86539e-05,5.86539e-05,5.86539e-05
135,2606.43,0.41468,0.63265,0.34021,0.83518,0.99597,0.99032,0.99483,0.94904,0.99499,0.97349,0.9913,0.83226,0.33711,0.48897,0.29477,0.81379,5.36357e-05,5.36357e-05,5.36357e-05
136,2625.29,0.39721,0.58721,0.33005,0.82676,0.99732,0.98774,0.99488,0.95115,0.98295,0.98911,0.99212,0.83131,0.33656,0.48714,0.29361,0.81353,4.89104e-05,4.89104e-05,4.89104e-05
137,2643.85,0.3991,0.58982,0.33441,0.83104,0.99682,0.98883,0.99487,0.9484,0.99491,0.97579,0.99006,0.83115,0.3347,0.48762,0.2937,0.8136,4.44803e-05,4.44803e-05,4.44803e-05
138,2664.36,0.40893,0.61202,0.33583,0.83182,0.99667,0.98841,0.99486,0.94995,0.98633,0.98442,0.99268,0.83259,0.33359,0.48619,0.29318,0.81349,4.03471e-05,4.03471e-05,4.03471e-05
139,2684.45,0.38563,0.57351,0.32343,0.82624,0.99561,0.98868,0.99485,0.95138,0.99496,0.97907,0.99269,0.83042,0.33294,0.48814,0.29449,0.81312,3.65129e-05,3.65129e-05,3.65129e-05
140,2703.04,0.39987,0.5946,0.33204,0.83158,0.99709,0.98691,0.99487,0.94878,0.98391,0.98792,0.99209,0.8341,0.33375,0.48591,0.29299,0.81325,3.29791e-05,3.29791e-05,3.29791e-05
141,2724.82,0.35602,0.53502,0.30056,0.8119,0.99613,0.9888,0.99487,0.94744,0.99471,0.97725,0.99174,0.82769,0.34021,0.49798,0.29664,0.81369,2.97474e-05,2.97474e-05,2.97474e-05
142,2741.25,0.35071,0.52397,0.30089,0.81253,0.9984,0.98506,0.99484,0.94663,0.984,0.98782,0.99211,0.8273,0.34196,0.50365,0.29791,0.81438,2.68192e-05,2.68192e-05,2.68192e-05
143,2757.14,0.34401,0.5239,0.29806,0.8105,0.99876,0.98641,0.99484,0.94466,0.98439,0.98714,0.99036,0.8259,0.34185,0.50205,0.29852,0.8139,2.41958e-05,2.41958e-05,2.41958e-05
144,2773.63,0.33234,0.50741,0.29037,0.8068,0.99709,0.98796,0.99484,0.94699,0.98148,0.98714,0.99044,0.82665,0.34044,0.50211,0.2962,0.81333,2.18783e-05,2.18783e-05,2.18783e-05
145,2789.8,0.33496,0.51243,0.29142,0.80764,0.99629,0.98802,0.99483,0.94586,0.98352,0.98916,0.99223,0.8275,0.3383,0.50113,0.29673,0.81306,1.98677e-05,1.98677e-05,1.98677e-05
146,2805.98,0.32907,0.50646,0.28717,0.80671,0.99701,0.98714,0.99482,0.94612,0.99438,0.97596,0.99088,0.82851,0.33715,0.49951,0.29599,0.81285,1.8165e-05,1.8165e-05,1.8165e-05
147,2821.93,0.33336,0.50682,0.29155,0.80874,0.99674,0.98712,0.99482,0.94765,0.99391,0.97522,0.99021,0.82964,0.33602,0.4995,0.295,0.8125,1.67708e-05,1.67708e-05,1.67708e-05
148,2838.53,0.34083,0.5201,0.29329,0.80855,0.99659,0.98635,0.99481,0.94768,0.98189,0.9878,0.99104,0.82926,0.33579,0.49922,0.29516,0.81263,1.56858e-05,1.56858e-05,1.56858e-05
149,2854.36,0.33145,0.50188,0.28571,0.80761,0.99713,0.98713,0.99483,0.94815,0.9819,0.98652,0.99101,0.83089,0.3358,0.49972,0.29406,0.81261,1.49105e-05,1.49105e-05,1.49105e-05
150,2871.01,0.33774,0.51268,0.29031,0.80689,0.99694,0.98772,0.99481,0.94853,0.9925,0.97612,0.99039,0.83196,0.33586,0.49842,0.29328,0.81236,1.44451e-05,1.44451e-05,1.44451e-05
